time,delta_f,delta_f_COI,P_BESS,P_Wind,SoH,Shortfall
256,0.322242414209367,0.317278714058566,19.3396689998236,0.0136760229942946,0.799998513624352,-0.000364433521099272
257,0.322090857560364,0.317127111578658,19.3305912561381,0.0135181309953923,0.799998508249187,-0.000361788339912295
258,0.321940447579883,0.31697665611129,19.3215794629669,0.013364163082555,0.799998502876537,-0.000359157511859109
259,0.321791175603237,0.316827338991316,19.3126332591649,0.0132139524890498,0.799998497506383,-0.000356541217882977
260,0.321643033041086,0.316679151624222,19.303752279374,0.0130673407766673,0.799998492138707,-0.000353939615830967
261,0.321496011366718,0.316532085478316,19.2949361545092,0.0129241772899673,0.799998486773491,-0.000351352846475805
262,0.321350102108925,0.316386132084784,19.2861845121175,0.012784318631509,0.799998481410716,-0.000348781038844947
263,0.321205296865856,0.316241283038687,19.2774969766532,0.0126476283377404,0.799998476050366,-0.000346224310625587
264,0.321061587299359,0.316097529997944,19.268873169808,0.0125139766006166,0.799998470692422,-0.000343682765713282
265,0.320918965134992,0.315954864684787,19.2603127108089,0.0123832398680433,0.799998465336867,-0.000341156497611905
266,0.320777422157714,0.315813278880189,19.251815216693,0.0122553005825145,0.799998459983682,-0.000338645588083608
267,0.320636950208619,0.315672764430819,19.2433803025868,0.012130046868707,0.799998454632852,-0.000336150107909106
268,0.320497541207637,0.315533313243488,19.2350075819581,0.0120073722239921,0.799998449284357,-0.000333670119527341
269,0.320359187115776,0.315394917283751,19.2266966668558,0.0118871753180413,0.799998443938182,-0.000331205673731461
270,0.320221879966859,0.315257568582433,19.2184471681497,0.0117693596520583,0.799998438594308,-0.000328756813932074
271,0.32008561184983,0.315121259225892,19.2102586957331,0.0116538333527849,0.79999843325272,-0.000326323575656318
272,0.319950374918143,0.314985981362692,19.2021308587308,0.0115405089773746,0.799998427913399,-0.000323905985030848
273,0.31981616137709,0.314851727198828,19.1940632656923,0.0114293032560588,0.799998422576329,-0.000321504061147948
274,0.319682963497253,0.31471848899971,19.1860555247743,0.0113201368522013,0.799998417241494,-0.000319117817262793
275,0.319550773601729,0.314586259089267,19.1781072438934,0.0112129342471006,0.799998411908877,-0.000316747258505501
276,0.319419584078434,0.314455029850091,19.1702180309156,0.0111076234984763,0.799998406578461,-0.000314392384130002
277,0.319289387363253,0.314324793719534,19.162387493799,0.0110041360318654,0.79999840125023,-0.000312053188729067
278,0.319160175957883,0.314195543193774,19.1546152407164,0.0109024065826583,0.799998395924168,-0.000309729658976465
279,0.319031942414649,0.314067270825436,19.146900880218,0.0108023729017814,0.799998390600259,-0.000307421778394712
280,0.318904679347709,0.313939969223465,19.1392440213463,0.0107039756791734,0.799998385278486,-0.000305129525148828
281,0.31877837942127,0.313813631051291,19.1316442737434,0.0106071584008635,0.799998379958834,-0.000302852872227533
282,0.318653035355726,0.313688249029881,19.1241012477918,0.0105118672153645,0.799998374641287,-0.000300591787194548
283,0.318528639930588,0.313563815931894,19.1166145547117,0.0104180507049744,0.799998369325828,-0.000298346236533575
284,0.318405185972931,0.313440324586173,19.10918380663,0.0103256599044246,0.799998364012444,-0.000296116180535932
285,0.318282666371583,0.313317767877813,19.101808616708,0.0102346481004345,0.799998358701117,-0.000293901576281286
286,0.318161074061429,0.313196138738708,19.0944885992317,0.0101449707370902,0.799998353391833,-0.000291702377371195
287,0.31804040203765,0.313075430162946,19.0872233696526,0.0100565852700252,0.799998348084576,-0.000289518535819155
288,0.317920643342784,0.312955635191448,19.0800125447082,0.00996945117322602,0.799998342779332,-0.000287349997865505
289,0.317801791073297,0.312836746918677,19.0728557424891,0.00988352973607675,0.799998337476084,-0.000285196708308177
290,0.317683838379446,0.312718758492458,19.0657525824803,0.00979878396060487,0.799998332174819,-0.000283058611088904
291,0.317566778463807,0.312601663110901,19.0587026856414,0.00971517860363784,0.799998326875521,-0.000280935644845215
292,0.317450604574837,0.31248545402276,19.0517056744689,0.00963267996515481,0.799998321578175,-0.000278827747369093
293,0.31733531001566,0.312370124531225,19.044761173042,0.00955125588060089,0.799998316282768,-0.000276734853724037
294,0.317220888140107,0.312255667986039,19.0378688070887,0.00947087557283737,0.799998310989284,-0.000274656898639591
295,0.317107332353839,0.312142077788846,19.0310282040074,0.00939150971030702,0.799998305697708,-0.000272593812532307
296,0.316994636107854,0.312029347390924,19.0242389929435,0.00931313019893684,0.799998300408027,-0.000270545525800969
297,0.316882792901774,0.311917470293027,19.0175008048025,0.00923571020879125,0.799998295120226,-0.00026851196648181
